cod_articulo|cod_uni_med|cod_marca|des_articulo|des_uni_med|num_precio|des_tipo|des_modelo|fla_estado|cod_articulo_aux|fla_reg_lote|cod_catalogo
00756|002|000|GASA ESTERIL 7.5CMX5CM X UNIDAD                                                                     ||.12260|A||A|033014100|S|01
00757|002|000|PASTA ALVEOLAR X 10GR||16.41650|A||A|033014130|S|01
00758|002|000|HILO DENTAL X 50 METROS||2.34880|A||A|033014170|S|01
00759|002|000|GASA ESTERIL DE 10CM X 10CMX1UND||.16780|A||A|033014200|S|01
00760|002|000|GASA ESTERIL 5CMX5CM X 5UND||.18810|A||A|033014220|S|01
00761|002|000|HISOL SOLUCION X 120ML||9.28560|A||A|033014250|S|01
00762|002|000|CAMPOS QUIRURGICOS DESCARTABLES X 25 UND||1.20790|A||A|033014340|N|01
00763|002|000|REVELADOR DE PLACA BACTERIANA X 7ML||1.61680|A||A|033014350|S|01
00764|002|000|CEMENTO OXIFOSFATO DE ZINC (POLVO Y LIQUIDO)||4.05750|A||A|033014360|S|01
00765|002|000|SEDA NEGRA 3-0 CON AGUJA||1.53450|A||A|033014370|S|01
00766|002|000|PIEDRA DE ARKANSAS A/V FISURA                                                                       ||.97920|A||A|033014380|N|01
00767|002|000|FRESA DE CARBURO A/V REDONDA GRANDE                                                                 ||3.06000|A||A|033014390|N|01
00768|002|000|FRESA DE CARBURO A/V REDONDA MEDIANA                                                                ||3.06000|A||A|033014400|N|01
00769|002|000|FRESA DE CARBURO A/V REDONDA PEQUEÑA                                                                ||3.06000|A||A|033014410|N|01
00770|002|000|FRESA DE CARBURO A/V FISURA EXTRALARGA QUIRURGICA                                                   ||9.64860|A||A|033014420|N|01
00771|002|000|HILO RETRACTOR DE ENCIA FINO CON CLORURO DE ALUMINIO                                                ||4.07750|A||A|033014430|S|01
00772|002|000|IONOMERO DE VIDRIO FOTOCURABLE PARA RECONSTRUCCION KIT||68.05850|A||A|033014440|S|01
00773|002|000|LIMADURAS DE PLATA X ONZA                                                                           ||11.29130|A||A|033014450|N|01
00774|002|000|PIEDRA DE ARKANSAS A/V REDONDA                                                                      ||.97920|A||A|033014460|N|01
00775|002|000|PIEDRA DE DIAMANTE A/V CILINDRICA CORTA                                                             ||1.03020|A||A|033014470|N|01
00776|002|000|PIEDRA DE DIAMANTE A/V CILINDRICA LARGA                                                             ||1.03020|A||A|033014480|N|01
00777|002|000|PIEDRA DE DIAMANTE A/V CONO INVERTIDO MEDIANA                                                       ||1.03020|A||A|033014490|N|01
00778|002|000|PIEDRA DE DIAMANTE A/V CONO INVERTIDO PEQUEÑA                                                       ||1.03020|A||A|033014500|N|01
00779|002|000|PIEDRA DE DIAMANTE A/V FISURA CONICA DELGADA                                                        ||1.03020|A||A|033014510|N|01
00780|002|000|PIEDRA DE DIAMANTE A/V REDONDA GRANDE GRANO MEDIANO||1.03020|A||A|033014520|N|01
00781|002|000|PIEDRA DE DIAMANTE A/V REDONDA MEDIANA GRANO MEDIANO                                                ||1.03020|A||A|033014530|N|01
00782|002|000|MICROBROCHAS PARA AGENTE DE ENLACE (RESINA) X 100UND                                                ||7.14000|A||A|033014550|N|01
00783|002|000|BLOCK DE MEZCLA X 100HOJAS                                                                          ||1.41780|A||A|033014560|N|01
00784|002|000|CUÑAS DE PLASTICO PARA ESPACIO INTERDENTAL X 100UND                                                 ||9.84730|A||A|033014570|N|01
00785|002|000|ATACADOR BIPOLAR DE RESINA CON PUNTA DE NITRATO DE TITANIO                                          ||25.09230|A||A|033014580|N|01
00786|002|000|ESPONJA HEMOSTATICA (COLAGENO) USO ODONTOLOGICO X 20UND||22.39860|A||A|033014590|S|01
00787|002|000|ESCOBILLA PROFILAXIS CONICA A/V||.45690|A||A|033014600|N|01
00788|002|000|ESCOBILLA PROFILAXIS CONICA B/V||.28510|A||A|033014610|N|01
00789|002|000|ESCOBILLA PROFILAXIS TIPO PINCEL A/V||.45690|A||A|033014620|N|01
00790|002|000|ESCOBILLA PROFILAXIS TIPO PINCEL B/V||.45690|A||A|033014630|N|01
00791|002|000|GOMA PARA PROFILAXIS B/V||.28500|A||A|033014640|N|01
00792|002|000|ESPACIADOR DIGITAL 10-40 X 21MM PARA ENDODONCIA||9.39510|A||A|033014650|N|01
00793|002|000|REPUESTO INDIVIDUAL DE ADHESIVO P/RESINA FOTOC||30.92910|A||A|033014660|S|01
00794|002|000|FLUORURO DE DIAMINO DE PLATA X 5ML||8.13960|A||A|033014670|S|01
00795|002|000|MASCARILLA PARA OXIGENO ADULTO||4.30430|A||A|033014680|N|01
00796|002|000|ESCOBILLA PROFILAXIS CIRCULAR A/V||.45690|A||A|033014690|N|01
00797|002|000|ESCOBILLA PROFILAXIS CIRCULAR B/V||.45690|A||A|033014700|N|01
00798|002|000|PIEDRA DE DIAMANTE A/V REDONDA PEQUEÑA GRANO MEDIANO||1.07180|A||A|033014710|N|01
00799|002|000|OXIDO DE ZINC||10.00000|A||A|033014720|N|01
00800|002|000|TENSIOMETRO DE MERCURIO DE SOBREMESA||180.00000|A||A|033014730|N|01
00801|002|000|VENDA ELASTICA DE 6" X 5 YARDAS||2.00000|A||A|033014740|N|01
00802|002|000|BATERIA ALCALINA 9V||2.97600|A||A|034010010|N|01
00803|002|000|BATERIA DE 11 PLACAS X 12 V|UND|40.68730|A||A|034010020|N|01
00804|002|000|BATERIA DE 23 PLACAS X 12 V|UND|86.06930|A||A|034010030|N|01
00805|002|000|PILA ALCALINA 1.5V TAMAÑO AA|UND|1.60000|A||A|034010050|N|01
00806|002|000|PILA ALCALINA 1.5V TAMAÑO AAA|UND|.72030|A||A|034010060|N|01
00807|002|000|PILA ALCALINA 1.5V TAMAÑO C||2.65300|A||A|034010070|N|01
00808|002|000|PILA ALCALINA 1.5V TAMAÑO D||2.65300|A||A|034010080|N|01
00809|002|000|BATERIA LITHIUM CR123A PARA CAMARA FOTOGRAFICA||5.49950|A||A|034010090|N|01
00810|002|000|BATERIA RECARGABLE PARA CAMARA FOTOGRAFICA DIGITAL EN-EL1||63.67250|A||A|034010100|N|01
00811|002|000|PARARRAYO PDV THOR Ø158M DE PROTECCION                                                              ||1020.00000|A||A|034010110|N|01
00812|002|000|BATERIA DE 12V/100AH||100.00000|A||A|034010120|N|01
00813|002|000|BATERIA DE 12V/150AH||118.45000|A||A|034010130|N|01
00814|002|000|BATERIA DE 12V/75AH||95.00000|A||A|034010140|N|01
00815|002|000|BATERIA RECARGABLE PARA CAMARA FILMADORA PANASONIC PV-BP50 TIPO 50 12V 2.0Ah||45.00000|A||A|034010150|N|01
00816|002|000|CRONOMETRO PROFESIONAL DE 100 MEMORIAS||42.44830|A||A|034020010|N|01
00817|002|000|RELOJ DE PARED DE PLASTICO FONDO BLANCO NUMEROS ARABIGOS A PILAS||8.58350|A||A|034020020|N|01
00818|002|000|BALANZA DE RELOJ CON CALZONETAS PARA PESADO||24.04360|A||A|034030030|N|01
00819|002|000|BALANZA PEDIATRICA DE MESA CON PLATILLO||179.84950|A||A|034030060|N|01
00820|002|000|MULTIMETRO DIGITAL||265.30200|A||A|034030100|N|01
00821|002|000|WINCHA DE LONA PLASTIFICADA X 10 METROS||5.63360|A||A|034030120|N|01
00822|002|000|CALIBRADOR PARA HIGROMETRO||.00000|A||A|034030130|N|01
00823|002|000|WINCHA DE LONA PLASTIFICADA X 20METROS||13.82950|A||A|034030150|N|01
00824|002|000|BALANZA TIPO RELOJ HASTA 25kg||108.24320|A||A|034030160|N|01
00825|002|000|WINCHA DE LONA PLASTIFICADA X 50METROS||23.48790|A||A|034030180|N|01
00826|002|000|BALANZA REPOST. CAPACIDAD 2 KG SENCIBILIDAD 1 GR.||159.18120|A||A|034030200|N|01
00827|002|000|WINCHA METALICA X 3M||4.38310|A||A|034030210|N|01
00828|002|000|WINCHA METALICA X 5M||5.53180|A||A|034030220|N|01
00829|002|000|CINTA METRICA X 1.50M                                                                               ||2.35380|A||A|034030230|N|01
00830|002|000|WINCHA DE FIBRA DE VIDRIO X 30M                                                                     ||10.11100|A||A|034030240|N|01
00831|002|000|TALLIMETRO DE MADERA PLEGABLE DE 1.30MX0.30M                                                        ||82.62000|A||A|034030250|N|01
00832|002|000|INFANTOMETRO DE MADERA 65CM LARGO X 25CM DE ANCHO                                                   ||53.04000|A||A|034030260|N|01
00833|002|000|PESA PATRON X 5KILOS                                                                                ||54.06450|A||A|034030270|N|01
00834|002|000|BALANZA CON PLATAFORMA DE 200K MODELO GIANT 200W                                                    ||764.06980|A||A|034030280|N|01
00835|002|000|BALANZA DE PIE CON TALLIMETRO INCORPORADO HASTA 150KG                                               ||515.61330|A||A|034030290|N|01
00836|002|000|BALANZA CON PLATAFORMA DE 500KG||867.00000|A||A|034030300|N|01
00837|002|000|BALANZA DIGITAL DE 1500KG||2142.00000|A||A|034030310|N|01
00838|002|000|MULTIMETROS ANALOGICOS||20.00000|A||A|034030320|N|01
00839|002|000|MULTITESTER ||40.00000|A||A|034030330|N|01
00840|002|000|CINTA AISLANTE DE 3/4"X20M||1.08080|A||A|034040010|N|01
00841|002|000|CINTA AISLANTE AUTOFUNDENTE PARA BAJA Y MEDIA TENSION||.62600|A||A|034040030|N|01
00842|002|000|CINTA BUTYL DE 3/32 X 3/4 X 15.24M||11.03340|A||A|034040040|N|01
00843|002|000|BOMBILLA  PARA RETROPROYECTOR DE 24VOLTIOS  250W||57.30520|A||A|034050010|N|01
00844|002|000|CONECTOR DE CABLE ELECTRICO Nº04||.00000|A||A|034050020|N|01
00845|002|000|CONECTOR DE CABLE ELECTRICO Nº10||.00000|A||A|034050030|N|01
00846|002|000|CONECTOR DE PERNO PARTIDO Nº04||.00000|A||A|034050040|N|01
00847|002|000|CONECTOR DE PERNO PARTIDO Nº10||.00000|A||A|034050050|N|01
00848|002|000|CONEXION A CAJA LUZ DE PVC ELECTRICO PESADO DE 3/4"||.00000|A||A|034050080|N|01
00849|002|000|CONECTOR PARA BARRA DE 50MMX10MM||.00000|A||A|034050090|N|01
00850|002|000|INTERRUPTOR DOBLE EMPOTRABLE||2.71750|A||A|034050100|N|01
00851|002|000|INTERRUPTOR SIMPLE EMPOTRABLE||2.00730|A||A|034050110|N|01
00852|002|000|INTERRUPTOR DE CUCHILLA ELECTRICA 2X30AMP||11.91150|A||A|034050120|N|01
00853|002|000|INTERRUPTOR DE CUCHILLA ELECTRICA 2X60AMP||14.10570|A||A|034050130|N|01
00854|002|000|INTERRUPTOR DOBLE, 10A/220V(02 DADO PESADO UNIPOLAR/PLACA MAGIC 2 HUECOS)||.00000|A||A|034050140|N|01
00855|002|000|INTERRUPTOR TERMOMAGNETICO 2X20AMP||23.50950|A||A|034050150|N|01
00856|002|000|INTERRUPTOR TERMOMAGNETICO 2X15AMP|UND|21.94220|A||A|034050160|N|01
00857|002|000|INTERRUPTOR TERMOMAGNETICO 2X30AMP||36.04790|A||A|034050180|N|01
00858|002|000|INTERRUPTOR TERMOMAGNETICO 2X60AMP||7.53000|A||A|034050190|N|01
00859|002|000|INTERRUPTOR TERMOMAGNETICO 2X40AMP||.00000|A||A|034050200|N|01
00860|002|000|INTERRUPTOR TRIPLE, 10A/220V(03 DADO PESADO UNIPOLAR/PLACA MAGIC 3 HUECOS)||2.66200|A||A|034050220|N|01
00861|002|000|INTERRUPTOR SIMPLE, 10A/220V(01 DADO PESADO UNIPOLAR/PLACA MAGIC 1 HUECO)|UND|.00000|A||A|034050230|N|01
00862|002|000|LUMINARIA + EQ. SON-T PLUS 150W E-40||.00000|A||A|034050240|N|01
00863|002|000|LUMINARIA + EQ. SON-T PLUS 250W E-40||.00000|A||A|034050250|N|01
00864|002|000|PROTECTOR PRISMATICO TRANSPARENTE PARA FLUORESCENTE||8.19060|A||A|034050260|N|01
00865|002|000|TERMINAL DE COMPRESION CADMIADO P/CABLE Nº2 AWG (35MM²)||.00000|A||A|034050280|N|01
00866|002|000|TERMINAL DE COMPRESION CADMIADO P/CABLE Nº6 AWG (16MM²)||.00000|A||A|034050290|N|01
00867|002|000|TERMINAL DE COMPRESION N°1/0AWG (50MM2)||.00000|A||A|034050300|N|01
00868|002|000|TERMINAL DE COMPRESION N°10AWG (6MM2)||.04080|A||A|034050310|N|01
00869|002|000|TERMINAL DE COMPRESION N°2/0AWG (70MM2)||.30000|A||A|034050320|N|01
00870|002|000|TOMACORRIENTE C/TOMA TIERRA (DADO)|UND|2.34730|A||A|034050330|N|01
00871|002|000|TOMACORRIENTE UNIVERSAL DOBLE EMPOTRABLE||3.70570|A||A|034050340|N|01
00872|002|000|TOMACORRIENTE UNIVERSAL SIMPLE EMPOTRABLE||1.56590|A||A|034050350|N|01
00873|002|000|UNION ABIERTA DE 10mm²||.00000|A||A|034050360|N|01
00874|002|000|UNION ABIERTA DE 16mm²||.31380|A||A|034050370|N|01
00875|002|000|UNION ABIERTA DE 25mm²||.00000|A||A|034050380|N|01
00876|002|000|UNION ABIERTA DE 35mm²||.00000|A||A|034050390|N|01
00877|002|000|UNION ABIERTA DE 6mm²||.00000|A||A|034050400|N|01
00878|002|000|UNION ABIERTA DE 70mm²||.00000|A||A|034050410|N|01
00879|002|000|INTERRUPTOR DE CONMUTACION (3VIAS) EMPOTRABLE|UND|2.70000|A||A|034050420|N|01
00880|002|000|INTERRUPTOR SIMPLE ADOSABLE||.00000|A||A|034050430|N|01
00881|002|000|INTERRUPTOR DE BAKELITA SIMPLE S/PLACA||.00000|A||A|034050440|N|01
00882|002|000|TOMACORRIENTE UNIVERSAL SIMPLE ADOSABLE||.00000|A||A|034050450|N|01
00883|002|000|LLAVE TERMICA TRIFASICA DE 30 AMP DE TORNILLO||.00000|A||A|034050460|N|01
00884|002|000|INTERRUPTOR TERMOMAGNETICO 3X20AMP||.00000|A||A|034050470|N|01
00885|002|000|INTERRUPTOR TERMOMAGNETICO 3X60AMP||.00000|A||A|034050480|N|01
00886|002|000|TOMACORRIENTE INDUSTRIAL PARA CORRIENTE 380V. 32AMP||.00000|A||A|034050490|N|01
00887|002|000|ENCHUFE INDUSTRIAL PARA CORREINTE 380V. 32AMP||.00000|A||A|034050500|N|01
00888|002|000|INTERRUPTOR TERMOMAGNETICO 1X16AMP||.00000|A||A|034050510|N|01
00889|002|000|INTERRUPTOR TERMOMAGNETICO 3X80AMP|UND|.00000|A||A|034050520|N|01
00890|002|000|INTERRUPTOR DE CUCHILLA ELECTRICA 3X60AMP||.00000|A||A|034050530|N|01
00891|002|000|SOCKET DE 4½" PARA CAJA OCTOGONAL||1.81530|A||A|034050540|N|01
00892|002|000|INTERRUPTOR TRIPLE EMPOTRABLE||3.00000|A||A|034050550|N|01
00893|002|000|CONEXION A CAJA LUZ DE PVC ELECTRICO LIVIANO DE 1/2"||.12520|A||A|034050560|N|01
00894|002|000|CONEXION A CAJA LUZ DE PVC ELECTRICO PESADO DE 1/2"||.18550|A||A|034050570|N|01
00895|002|000|TERMINAL DE COMPRESION CADMIADO P/CABLE Nº12 AWG (4mm²)||.07820|A||A|034050580|N|01
00896|002|000|INTERRUPTOR DE CUCHILLA ELECTRICA 2X20AMP||.00000|A||A|034050590|N|01
00897|002|000|ENCHUFE PROTEGIDO CON ESPIGA PLANA DE 15A-220V||1.60000|A||A|034050600|N|01
00898|002|000|INTERRUPTOR TERMOMAGNETICO 3X100AMP||.00000|A||A|034050610|N|01
00899|002|000|TOMACORRIENTE UNIVERSAL TRIPLE EMPOTRABLE||.00000|A||A|034050620|N|01
00900|002|000|CABLE PARA EQUIPO DOMESTICO PROTEGIDO||.18780|A||A|034050630|N|01
00901|002|000|LLAVE TERMICA MONOFASICA DE 30 AMP||5.31900|A||A|034050640|N|01
00902|002|000|BORNERA PLASTICA DE 12 CONECTORES DE PRESION PARA CABLE AWG Nº10||2.50000|A||A|034050650|N|01
00903|002|000|BORNERA PLASTICA DE 12 CONECTORES DE PRESION PARA CABLE AWG Nº6||2.50000|A||A|034050660|N|01
00904|002|000|BORNERA PLASTICA DE 12 CONECTORES DE PRESION PARA CABLE AWG Nº8||2.50000|A||A|034050670|N|01
00905|007|000|CABLE ASBESTADO Nº 12  AWG||3.12980|A||A|034060010|N|01
00906|007|000|CONDUCTOR DESNUDO DE COBRE CABLEADO BLANDO DE 25mm²||1.40840|A||A|034060040|N|01
00907|002|000|CABLE STP CAT5 (CAJA)||427.34420|A||A|034060050|N|01
00908|002|000|CABLE UTP CAT5 (CAJA)||81.11040|A||A|034060060|N|01
00909|007|000|CONDUCTOR DESNUDO DE COBRE CABLEADO BLANDO DE 16MM²||.90990|A||A|034060070|N|01
00910|007|000|CONDUCTOR DESNUDO DE COBRE CABLEADO BLANDO DE 35MM²||.00000|A||A|034060080|N|01
00911|007|000|CONDUCTOR DESNUDO DE COBRE CABLEADO BLANDO DE 50MM²||.00000|A||A|034060090|N|01
00912|007|000|CONDUCTOR DESNUDO DE COBRE CABLEADO BLANDO DE 6MM²||.00000|A||A|034060100|N|01
00913|007|000|CONDUCTOR DESNUDO DE COBRE CABLEADO BLANDO DE 70MM²||1.34880|A||A|034060110|N|01
00914|007|000|CONDUCTOR DESNUDO DE COBRE CABLEADO DURO DE 16MM²||.00000|A||A|034060120|N|01
00915|007|000|CONDUCTOR DESNUDO DE COBRE CABLEADO DURO DE 50MM²||.00000|A||A|034060130|N|01
00916|007|000|CONDUCTOR ELECTRICO CABLEADO THW AWG Nº10 C/NEGRO||.18040|A||A|034060140|N|01
00917|007|000|CONDUCTOR ELECTRICO CABLEADO THW AWG Nº4 C/NEGRO||.00000|A||A|034060150|N|01
00918|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº10 AWG C/NEGRO||.39150|A||A|034060160|N|01
00919|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº12 AWG C/AZUL||.27950|A||A|034060170|N|01
00920|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº12 AWG C/ROJO||.27950|A||A|034060180|N|01
00921|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº14 AWG C/AMARILLO||.21110|A||A|034060190|N|01
00922|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº14 AWG C/AZUL||.21110|A||A|034060200|N|01
00923|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº14 AWG C/BLANCO||.21110|A||A|034060220|N|01
00924|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº14 AWG C/NEGRO||.21110|A||A|034060230|N|01
00925|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº14 AWG C/ROJO||.21110|A||A|034060240|N|01
00926|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº14 AWG C/VERDE||.21110|A||A|034060250|N|01
00927|007|000|CONDUCTOR ELECTRICO NYY 1X10mm²,600V||.00000|A||A|034060260|N|01
00928|007|000|CONDUCTOR ELECTRICO NYY 1X16mm²,600V||.00000|A||A|034060270|N|01
00929|007|000|CONDUCTOR ELECTRICO NYY 1X25mm²,600V||.00000|A||A|034060280|N|01
00930|007|000|CONDUCTOR ELECTRICO NYY 1X35mm², 600V||.00000|A||A|034060290|N|01
00931|007|000|CONDUCTOR ELECTRICO NYY 1X50mm²,600V||.00000|A||A|034060300|N|01
00932|007|000|CONDUCTOR ELECTRICO NYY 1X6mm²,600V||.00000|A||A|034060310|N|01
00933|007|000|CONDUCTOR ELECTRICO NYY DUPLEX 2-1X10mm²,600V||2.08080|A||A|034060320|N|01
00934|007|000|CONDUCTOR ELECTRICO NYY DUPLEX 2-1X16mm²,600V||.00000|A||A|034060330|N|01
00935|007|000|CONDUCTOR ELECTRICO NYY DUPLEX 2-1X25mm²,600V||.00000|A||A|034060340|N|01
00936|007|000|CONDUCTOR ELECTRICO NYY DUPLEX 2-1X35mm²,600V||.00000|A||A|034060350|N|01
00937|007|000|CONDUCTOR ELECTRICO NYY DUPLEX 2-1X6mm²,600V||1.59430|A||A|034060360|N|01
00938|007|000|CONDUCTOR ELECTRICO NYY TRIPLE 3-1X10mm²,600V||3.11340|A||A|034060370|N|01
00939|007|000|CONDUCTOR ELECTRICO NYY TRIPLE 3-1X16mm²,600V||4.29030|A||A|034060380|N|01
00940|007|000|CONDUCTOR ELECTRICO NYY TRIPLE 3-1X25mm²,600V||.00000|A||A|034060390|N|01
00941|007|000|CONDUCTOR ELECTRICO NYY TRIPLE 3-1X35mm²,600V||.00000|A||A|034060400|N|01
00942|007|000|CONDUCTOR ELECTRICO NYY TRIPLE 3-1X50mm²,600V||.00000|A||A|034060410|N|01
00943|007|000|CONDUCTOR ELECTRICO NYY TRIPLE 3-1X6mm²,600V||.00000|A||A|034060420|N|01
00944|007|000|CONDUCTOR ELECTRICO NYY TRIPLE 3-1X70mm²,600V||.00000|A||A|034060430|N|01
00945|007|000|CONDUCTOR ELECTRICO CABLEADO THW 10mm²,600V C/NEGRO||.34370|A||A|034060440|N|01
00946|007|000|CONDUCTOR ELECTRICO CABLEADO THW 150mm²,600V C/NEGRO||.00000|A||A|034060450|N|01
00947|007|000|CONDUCTOR ELECTRICO CABLEADO THW 16mm²,600V C/NEGRO||.55050|A||A|034060460|N|01
00948|007|000|CONDUCTOR ELECTRICO CABLEADO THW 2.5mm²,600V C/NEGRO|M|.16000|A||A|034060470|N|01
00949|007|000|CONDUCTOR ELECTRICO CABLEADO THW 35mm²,600V C/NEGRO||1.30750|A||A|034060480|N|01
00950|007|000|CONDUCTOR ELECTRICO CABLEADO THW 4mm²,600V C/AMARILLO||.32940|A||A|034060490|N|01
00951|007|000|CONDUCTOR ELECTRICO CABLEADO THW 70mm²,600V C/NEGRO||.00000|A||A|034060500|N|01
00952|007|000|CORDON ELECTRICO VULCAN.AWG 3X12 MEDIO PESADO (300V)||.00000|A||A|034060510|N|01
00953|002|000|EXTENSION DE TOMA CORRIENTE 10 MTS||7.82930|A||A|034060530|N|01
00954|002|000|EXTENSION ELECTRICA X 60 METROS CABLE Nº 16||18.82500|A||A|034060540|N|01
00955|002|000|TOMACORRIENTE PARA RACK||74.40000|A||A|034060550|N|01
00956|007|000|CABLE ELECTRICO PARA PLUFS||5.10000|A||A|034060570|N|01
00957|007|000|CONDUCTOR ELECTRICO CABLEADO THW AWG Nº12 C/VERDE||.00000|A||A|034060580|N|01
00958|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº12 AWG C/NEGRO||.27950|A||A|034060590|N|01
00959|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº10 AWG C/ROJO||.39150|A||A|034060600|N|01
00960|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº10 AWG C/AZUL||.39150|A||A|034060610|N|01
00961|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº12 AWG C/BLANCO||.27950|A||A|034060620|N|01
00962|007|000|CONDUCTOR DESNUDO DE COBRE CABLEADO DURO DE 70MM2||.00000|A||A|034060630|N|01
00963|002|000|CANALETA PLASTICA DE 12mmX32mmX2M,1COMPARTIMIENTO||3.71420|A||A|034060640|N|01
00964|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº08 AWG C/NEGRO||.59940|A||A|034060650|N|01
00965|007|000|CORDON ELECTRICO VULCANIZADO 4 X 14 AWG||.00000|A||A|034060660|N|01
00966|002|000|CANALETA PLASTICA DE 12mmX40mmX2M,1COMPARTIMIENTO||4.24480|A||A|034060680|N|01
00967|002|000|CANALETA PLASTICA DE 16mmX32mmX2M,1COMPARTIMIENTO||8.48970|A||A|034060690|N|01
00968|002|000|CANALETA PLASTICA DE 22mmX60mmX2M,1COMPARTIMIENTO||8.00000|A||A|034060700|N|01
00969|007|000|CONDUCTOR ELECTRICO SOLIDO TW Nº12 AWG C/AMARILLO||.27950|A||A|034060710|N|01
00970|002|000|CANALETA PLASTICA DE 18mmX32mmX2M,1COMPARTIMIENTO||8.48970|A||A|034060750|N|01
00971|007|000|CONDUCTOR DESNUDO DE COBRE CABLEADO BLANDO DE 10mm²||.00000|A||A|034060760|N|01
00972|007|000|CONDUCTOR ELECTRICO CABLEADO THW 4mm²,600V C/NEGRO|M|.32940|A||A|034060770|N|01
00973|002|000|CARGADOR DE BATERIA PARA CAMARA NIKON MH-53                                                         ||39.97040|A||A|034060780|N|01
00974|002|000|DETECTOR ELECTRICO DE BILLETES FALSOS                                                               ||12.06550|A||A|034060790|N|01
00975|007|000|CONDUCTOR ELECTRICO CABLEADO THW 6mm²,600V C/NEGRO|M|.43940|A||A|034060800|N|01
00976|007|000|CONDUCTOR ELECTRICO CABLEADO THW 6mm²,600V C/AMARILLO||.43940|A||A|034060810|N|01
00977|007|000|CONDUCTOR ELECTRICO CABLEADO THW 10mm²,600V C/AMARILLO||.64020|A||A|034060820|N|01
00978|002|000|BORNES DE CONEXION PARA BATERIA, PAR||1.24000|A||A|034060830|N|01
00979|002|000|CABLE BIPOLAR Nº 10||.59800|A||A|034060840|N|01
00980|007|000|CONDUCTOR ELECTRICO CABLEADO THW AWG Nº16 ||.05320|A||A|034060850|N|01
00981|002|000|CABLE COAXIAL X ROLLO DE 500 METROS||100.00000|A||A|034060860|N|01
00982|002|000|CANALETA DE PISO DE JEBE X 3M||13.77000|A||A|034060870|N|01
00983|007|000|TUBO CORRUGADO PLASTICO FLEXIBLE 1 1/2"|M|1.00000|A||A|034060880|N|01
00984|002|000|REJILLA PROTECTORA DE LAMPARA INCANDESCENTE||.00000|A||A|034070040|N|01
00985|002|000|EQUIPO COMPLETO DE LUMINARIA 3X40W A/F C/DIFUS.ACRILICO||.00000|A||A|034070050|N|01
00986|002|000|EQUIPO COMPLETO DE LUMINARIA 3X40W A/F TIPO BRAQUETE||19.50240|A||A|034070060|N|01
00987|002|000|EQUIPO COMPLETO DE LUMINARIA 3X40W B/F TIPO BRAQUETE||.00000|A||A|034070070|N|01
00988|002|000|EQUIPO COMPLETO FLUORESCENTE CIRCULAR DE 32W A/F||9.26430|A||A|034070080|N|01
00989|002|000|EQUIPO COMPLETO FLUORESCENTE CIRCULAR DE 32W B/F||7.02440|A||A|034070090|N|01
00990|002|000|EQUIPO COMPLETO LUMINARIA 2X36W M/OPUS P/SUSPENSION A/F||.00000|A||A|034070100|N|01
00991|002|000|EQUIPO COMPLETO LUMINARIA 2X36W M/RAS-M P/ADOSAR A/F||.00000|A||A|034070110|N|01
00992|002|000|TUBO FLUORESCENTE RECTO DE 40W||4.50000|A||A|034070120|N|01
00993|002|000|TUBO FLUORESCENTE CIRCULAR DE 32W||.00000|A||A|034070130|N|01
00994|002|000|TUBO FLUORESCENTE RECTO DE 20W||1.40840|A||A|034070140|N|01
00995|002|000|FOCO DE 100W||.46950|A||A|034070160|N|01
00996|002|000|FOCO PARA LAMPARA DE LUZ HALOGENA 12/75W||17.46250|A||A|034070170|N|01
00997|002|000|FOCO PARA MICROSCOPIO 6 VOLTIOS X 10 WATTS||26.21790|A||A|034070180|N|01
00998|002|000|FOCO PARA MICROSCOPIO 6 VOLTIOS X 20 WATTS||28.03070|A||A|034070190|N|01
00999|002|000|LAMPARA INCANDESENTE DE 100 W||.60890|A||A|034070200|N|01
01000|002|000|PANTALLA METALICA P/ EQUIPO DE LUMINARIA 2X40W||21.90860|A||A|034070210|N|01
01001|002|000|REFLECTOR X 250 W||7.44890|A||A|034070220|N|01
01002|002|000|ARRANCADOR PARA LAMPARA FLOURESCENTE DE 20W||.26600|A||A|034070230|N|01
01003|002|000|ARRANCADOR PARA LAMPARA FLOURESCENTE DE 40W||.45730|A||A|034070240|N|01
01004|002|000|AMPOLLA PARA REFLECTOR DE 500W||.00000|A||A|034070250|N|01
01005|002|000|AMPOLLA PARA REFLECTOR DE 1000 WATS, 220 VOLTIOS||6.08940|A||A|034070260|N|01
01006|002|000|LAMPARA DE RESISTENCIA DE 2300 WATS PARA POSTFORMADOS*||.00000|A||A|034070270|N|01
